age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y
57.0,9,1,1,0,839.0,0,1,2,5.0,8,225.0,1.0,-1.0,0.0,0
49.0,4,1,2,0,378.0,1,0,2,5.0,8,230.0,1.0,-1.0,0.0,0
60.0,0,1,1,0,39.0,1,1,2,5.0,8,208.0,1.0,-1.0,0.0,0
59.0,1,1,1,0,0.0,1,0,2,5.0,8,226.0,1.0,-1.0,0.0,0
51.0,4,1,2,0,3462.0,1,0,2,5.0,8,336.0,1.0,-1.0,0.0,0
57.0,9,0,1,0,63.0,1,0,2,5.0,8,242.0,1.0,-1.0,0.0,0
25.0,1,1,1,0,-7.0,1,0,2,5.0,8,365.0,1.0,-1.0,0.0,0
53.0,9,1,1,0,-3.0,0,0,2,5.0,8,643.0,1.0,-1.0,0.0,0
36.0,0,0,1,0,506.0,1,0,2,5.0,8,577.0,1.0,-1.0,0.0,0
37.0,0,2,1,0,0.0,1,0,2,5.0,8,137.0,1.0,-1.0,0.0,0
44.0,7,0,1,0,2586.0,1,0,2,5.0,8,160.0,1.0,-1.0,0.0,0
50.0,4,1,1,0,49.0,1,0,2,5.0,8,180.0,2.0,-1.0,0.0,0
60.0,1,1,1,0,104.0,1,0,2,5.0,8,22.0,1.0,-1.0,0.0,0
54.0,5,1,1,0,529.0,1,0,2,5.0,8,643.0,1.0,-1.0,0.0,0
58.0,5,1,1,0,96.0,1,0,2,5.0,8,616.0,1.0,-1.0,0.0,0
36.0,0,2,0,0,-171.0,1,0,2,5.0,8,242.0,1.0,-1.0,0.0,0
58.0,6,1,2,0,-364.0,1,0,2,5.0,8,355.0,1.0,-1.0,0.0,0
44.0,9,1,1,0,0.0,1,0,2,5.0,8,225.0,2.0,-1.0,0.0,0
55.0,9,0,1,0,0.0,0,0,2,5.0,8,160.0,1.0,-1.0,0.0,0
29.0,4,2,2,0,0.0,1,0,2,5.0,8,363.0,1.0,-1.0,0.0,0
54.0,1,1,1,0,1291.0,1,0,2,5.0,8,266.0,1.0,-1.0,0.0,0
48.0,4,0,2,0,-244.0,1,0,2,5.0,8,253.0,1.0,-1.0,0.0,0
32.0,4,1,2,0,0.0,1,0,2,5.0,8,179.0,1.0,-1.0,0.0,0
42.0,0,2,1,0,-76.0,1,0,2,5.0,8,643.0,1.0,-1.0,0.0,0
24.0,9,2,1,0,-103.0,1,1,2,5.0,8,145.0,1.0,-1.0,0.0,0
38.0,2,2,2,0,243.0,0,1,2,5.0,8,174.0,1.0,-1.0,0.0,0
38.0,4,2,2,0,424.0,1,0,2,5.0,8,104.0,1.0,-1.0,0.0,0
47.0,1,1,1,0,306.0,1,0,2,5.0,8,13.0,1.0,-1.0,0.0,0
40.0,1,2,1,0,24.0,1,0,2,5.0,8,185.0,1.0,-1.0,0.0,0
46.0,7,1,0,0,179.0,1,0,2,5.0,8,643.0,1.0,-1.0,0.0,0
32.0,0,1,2,0,0.0,1,0,2,5.0,8,138.0,1.0,-1.0,0.0,0
53.0,9,0,1,0,989.0,1,0,2,5.0,8,643.0,1.0,-1.0,0.0,0
57.0,1,1,0,0,249.0,1,0,2,5.0,8,164.0,1.0,-1.0,0.0,0
33.0,7,1,1,0,790.0,1,0,2,5.0,8,391.0,1.0,-1.0,0.0,0
49.0,1,1,1,0,154.0,1,0,2,5.0,8,357.0,1.0,-1.0,0.0,0
51.0,4,1,2,0,3462.0,1,0,2,5.0,8,91.0,1.0,-1.0,0.0,0
60.0,5,1,2,0,100.0,0,0,2,5.0,8,528.0,1.0,-1.0,0.0,0
59.0,4,0,2,0,59.0,1,0,2,5.0,8,273.0,1.0,-1.0,0.0,0
55.0,9,1,1,0,1205.0,1,0,2,5.0,8,158.0,2.0,-1.0,0.0,0
35.0,1,2,1,0,3462.0,1,1,2,5.0,8,177.0,1.0,-1.0,0.0,0
57.0,1,1,1,0,3462.0,1,1,2,5.0,8,258.0,1.0,-1.0,0.0,0
31.0,7,1,1,0,25.0,1,1,2,5.0,8,172.0,1.0,-1.0,0.0,0
54.0,4,1,1,0,282.0,1,1,2,5.0,8,154.0,1.0,-1.0,0.0,0
55.0,1,1,0,0,23.0,1,0,2,5.0,8,291.0,1.0,-1.0,0.0,0
43.0,9,1,1,0,1937.0,1,0,2,5.0,8,181.0,1.0,-1.0,0.0,0
53.0,9,1,1,0,384.0,1,0,2,5.0,8,176.0,1.0,-1.0,0.0,0
44.0,1,1,1,0,582.0,0,1,2,5.0,8,211.0,1.0,-1.0,0.0,0
55.0,7,0,1,0,91.0,0,0,2,5.0,8,349.0,1.0,-1.0,0.0,0
49.0,7,0,1,0,0.0,1,1,2,5.0,8,272.0,1.0,-1.0,0.0,0
55.0,7,0,1,1,1.0,1,0,2,5.0,8,208.0,1.0,-1.0,0.0,0
45.0,0,2,1,0,206.0,1,0,2,5.0,8,193.0,1.0,-1.0,0.0,0
47.0,7,0,1,0,164.0,0,0,2,5.0,8,212.0,1.0,-1.0,0.0,0
42.0,9,2,1,0,690.0,1,0,2,5.0,8,20.0,1.0,-1.0,0.0,0
59.0,0,1,1,0,2343.0,1,0,2,5.0,8,643.0,1.0,-1.0,0.0,1
46.0,6,1,2,0,137.0,1,1,2,5.0,8,246.0,1.0,-1.0,0.0,0
51.0,1,1,0,0,173.0,1,0,2,5.0,8,529.0,2.0,-1.0,0.0,0
56.0,0,1,1,0,45.0,0,0,2,5.0,8,643.0,1.0,-1.0,0.0,1
41.0,9,1,1,0,1270.0,1,0,2,5.0,8,643.0,1.0,-1.0,0.0,1
46.0,4,0,1,0,16.0,1,1,2,5.0,8,188.0,2.0,-1.0,0.0,0
57.0,5,1,1,0,486.0,1,0,2,5.0,8,180.0,2.0,-1.0,0.0,0
42.0,4,2,1,0,50.0,0,0,2,5.0,8,48.0,1.0,-1.0,0.0,0
30.0,9,1,1,0,152.0,1,1,2,5.0,8,213.0,2.0,-1.0,0.0,0
60.0,0,1,1,0,290.0,1,0,2,5.0,8,583.0,1.0,-1.0,0.0,0
60.0,1,1,1,0,54.0,1,0,2,5.0,8,221.0,1.0,-1.0,0.0,0
57.0,2,0,1,0,-37.0,0,0,2,5.0,8,173.0,1.0,-1.0,0.0,0
36.0,4,1,2,0,101.0,1,1,2,5.0,8,426.0,1.0,-1.0,0.0,0
55.0,1,1,1,0,383.0,0,0,2,5.0,8,287.0,1.0,-1.0,0.0,0
60.0,5,1,2,0,81.0,1,0,2,5.0,8,101.0,1.0,-1.0,0.0,0
39.0,9,1,1,0,0.0,1,0,2,5.0,8,203.0,1.0,-1.0,0.0,0
46.0,4,1,2,0,229.0,1,0,2,5.0,8,197.0,1.0,-1.0,0.0,0
44.0,1,1,1,0,-674.0,1,0,2,5.0,8,257.0,1.0,-1.0,0.0,0
53.0,1,1,0,0,90.0,0,0,2,5.0,8,124.0,1.0,-1.0,0.0,0
52.0,1,1,0,0,128.0,1,0,2,5.0,8,229.0,1.0,-1.0,0.0,0
59.0,1,1,0,0,179.0,1,0,2,5.0,8,55.0,3.0,-1.0,0.0,0
27.0,9,2,2,0,0.0,1,0,2,5.0,8,400.0,1.0,-1.0,0.0,0
44.0,1,1,1,0,54.0,1,0,2,5.0,8,197.0,1.0,-1.0,0.0,0
47.0,9,1,2,0,151.0,1,0,2,5.0,8,190.0,1.0,-1.0,0.0,0
34.0,0,1,1,0,61.0,0,1,2,5.0,8,21.0,1.0,-1.0,0.0,0
59.0,5,2,1,0,30.0,1,0,2,5.0,8,514.0,1.0,-1.0,0.0,0
45.0,4,1,2,0,523.0,1,0,2,5.0,8,643.0,2.0,-1.0,0.0,0
29.0,7,0,1,0,31.0,1,0,2,5.0,8,194.0,1.0,-1.0,0.0,0
46.0,9,0,1,0,79.0,0,0,2,5.0,8,144.0,1.0,-1.0,0.0,0
56.0,6,1,0,0,-34.0,1,1,2,5.0,8,212.0,2.0,-1.0,0.0,0
36.0,1,1,0,0,448.0,1,0,2,5.0,8,286.0,1.0,-1.0,0.0,0
59.0,5,0,0,0,81.0,1,0,2,5.0,8,107.0,1.0,-1.0,0.0,0
44.0,1,1,1,0,144.0,1,0,2,5.0,8,247.0,2.0,-1.0,0.0,0
41.0,0,1,1,0,351.0,1,0,2,5.0,8,518.0,1.0,-1.0,0.0,0
33.0,4,2,2,0,-67.0,1,0,2,5.0,8,364.0,1.0,-1.0,0.0,0
59.0,4,0,2,0,262.0,0,0,2,5.0,8,178.0,1.0,-1.0,0.0,0
57.0,9,1,0,0,0.0,0,0,2,5.0,8,98.0,1.0,-1.0,0.0,0
56.0,9,0,1,0,56.0,1,0,2,5.0,8,439.0,1.0,-1.0,0.0,0
51.0,1,1,1,0,26.0,1,0,2,5.0,8,79.0,1.0,-1.0,0.0,0
34.0,0,1,1,0,3.0,1,0,2,5.0,8,120.0,3.0,-1.0,0.0,0
43.0,7,1,1,0,41.0,1,1,2,5.0,8,127.0,2.0,-1.0,0.0,0
52.0,9,1,2,0,7.0,0,1,2,5.0,8,175.0,1.0,-1.0,0.0,0
33.0,9,2,1,0,105.0,1,0,2,5.0,8,262.0,2.0,-1.0,0.0,0
29.0,0,2,1,0,818.0,1,1,2,5.0,8,61.0,1.0,-1.0,0.0,0
34.0,7,1,1,0,-16.0,1,1,2,5.0,8,78.0,1.0,-1.0,0.0,0
31.0,1,1,1,0,0.0,1,0,2,5.0,8,143.0,1.0,-1.0,0.0,0
55.0,7,1,1,0,2476.0,1,0,2,5.0,8,579.0,1.0,-1.0,0.0,1
55.0,4,1,1,0,1185.0,0,0,2,5.0,8,643.0,1.0,-1.0,0.0,0
32.0,0,2,1,0,217.0,1,0,2,5.0,8,345.0,1.0,-1.0,0.0,0
38.0,9,2,1,0,1685.0,1,0,2,5.0,8,185.0,1.0,-1.0,0.0,0
55.0,0,2,1,0,802.0,1,1,2,5.0,8,100.0,2.0,-1.0,0.0,0
28.0,10,2,2,0,0.0,1,0,2,5.0,8,125.0,2.0,-1.0,0.0,0
23.0,1,1,1,0,94.0,1,0,2,5.0,8,193.0,1.0,-1.0,0.0,0
32.0,9,2,1,0,0.0,1,0,2,5.0,8,136.0,1.0,-1.0,0.0,0
43.0,7,2,1,0,0.0,0,0,2,5.0,8,73.0,1.0,-1.0,0.0,0
32.0,1,1,1,0,517.0,1,0,2,5.0,8,528.0,1.0,-1.0,0.0,0
46.0,1,1,1,0,265.0,1,0,2,5.0,8,541.0,1.0,-1.0,0.0,0
53.0,3,0,0,0,947.0,1,0,2,5.0,8,163.0,1.0,-1.0,0.0,0
34.0,6,2,1,0,3.0,1,0,2,5.0,8,301.0,1.0,-1.0,0.0,0
57.0,10,1,2,0,42.0,0,0,2,5.0,8,46.0,1.0,-1.0,0.0,0
37.0,1,1,1,0,37.0,1,0,2,5.0,8,204.0,1.0,-1.0,0.0,0
59.0,1,1,1,0,57.0,1,0,2,5.0,8,98.0,1.0,-1.0,0.0,0
33.0,7,1,1,0,22.0,1,0,2,5.0,8,71.0,1.0,-1.0,0.0,0
56.0,1,0,0,0,8.0,1,0,2,5.0,8,157.0,2.0,-1.0,0.0,0
48.0,10,1,1,0,293.0,1,0,2,5.0,8,243.0,1.0,-1.0,0.0,0
43.0,7,1,0,0,3.0,1,0,2,5.0,8,186.0,2.0,-1.0,0.0,0
54.0,1,1,0,0,348.0,1,0,2,5.0,8,579.0,2.0,-1.0,0.0,0
51.0,1,1,1,0,-19.0,1,0,2,5.0,8,163.0,2.0,-1.0,0.0,0
26.0,8,2,1,0,0.0,1,0,2,5.0,8,610.0,2.0,-1.0,0.0,0
40.0,4,1,2,0,-4.0,1,0,2,5.0,8,643.0,1.0,-1.0,0.0,0
39.0,4,1,1,0,18.0,1,0,2,5.0,8,85.0,1.0,-1.0,0.0,0
50.0,9,1,0,0,139.0,0,0,2,5.0,8,114.0,2.0,-1.0,0.0,0
41.0,7,1,1,0,0.0,1,0,2,5.0,8,114.0,2.0,-1.0,0.0,0
51.0,1,1,1,0,1883.0,1,0,2,5.0,8,57.0,1.0,-1.0,0.0,0
60.0,5,0,1,0,216.0,1,0,2,5.0,8,238.0,1.0,-1.0,0.0,0
52.0,1,1,1,0,782.0,1,0,2,5.0,8,93.0,3.0,-1.0,0.0,0
48.0,1,1,1,0,904.0,1,0,2,5.0,8,128.0,2.0,-1.0,0.0,0
48.0,7,1,1,0,1705.0,1,0,2,5.0,8,107.0,1.0,-1.0,0.0,0
39.0,9,2,2,0,47.0,1,0,2,5.0,8,181.0,1.0,-1.0,0.0,0
47.0,7,2,1,0,176.0,1,0,2,5.0,8,303.0,2.0,-1.0,0.0,0
40.0,1,1,1,0,1225.0,1,0,2,5.0,8,558.0,5.0,-1.0,0.0,0
45.0,9,1,1,0,86.0,1,0,2,5.0,8,270.0,1.0,-1.0,0.0,0
26.0,0,2,1,0,82.0,1,0,2,5.0,8,228.0,1.0,-1.0,0.0,0
52.0,4,1,2,0,271.0,1,0,2,5.0,8,99.0,1.0,-1.0,0.0,0
54.0,9,1,1,0,1378.0,1,0,2,5.0,8,240.0,1.0,-1.0,0.0,0
54.0,0,1,2,0,184.0,0,0,2,5.0,8,643.0,2.0,-1.0,0.0,1
50.0,1,1,0,0,0.0,0,0,2,5.0,8,233.0,3.0,-1.0,0.0,0
35.0,1,1,1,0,0.0,1,0,2,5.0,8,643.0,1.0,-1.0,0.0,0
44.0,7,1,1,0,1357.0,1,1,2,5.0,8,250.0,1.0,-1.0,0.0,0
53.0,2,1,1,0,19.0,1,0,2,5.0,8,252.0,1.0,-1.0,0.0,0
35.0,5,2,0,0,434.0,0,0,2,5.0,8,138.0,1.0,-1.0,0.0,0
60.0,0,0,1,0,92.0,1,0,2,5.0,8,130.0,1.0,-1.0,0.0,0
53.0,0,0,1,0,1151.0,1,0,2,5.0,8,412.0,1.0,-1.0,0.0,0
48.0,10,1,1,0,41.0,1,0,2,5.0,8,179.0,2.0,-1.0,0.0,0
34.0,9,1,1,0,51.0,1,0,2,5.0,8,19.0,2.0,-1.0,0.0,0
54.0,7,1,1,0,214.0,1,0,2,5.0,8,458.0,2.0,-1.0,0.0,0
51.0,4,1,1,0,1161.0,1,0,2,5.0,8,643.0,1.0,-1.0,0.0,0
31.0,7,1,2,0,37.0,1,0,2,5.0,8,313.0,1.0,-1.0,0.0,0
35.0,9,0,1,0,787.0,1,0,2,5.0,8,643.0,2.0,-1.0,0.0,0
35.0,7,1,1,0,59.0,1,0,2,5.0,8,643.0,1.0,-1.0,0.0,0
38.0,9,1,1,0,253.0,1,0,2,5.0,8,416.0,1.0,-1.0,0.0,0
36.0,0,1,2,0,211.0,1,0,2,5.0,8,146.0,2.0,-1.0,0.0,0
58.0,5,1,0,0,235.0,1,0,2,5.0,8,167.0,1.0,-1.0,0.0,0
40.0,7,0,1,0,3462.0,1,0,2,5.0,8,315.0,1.0,-1.0,0.0,0
54.0,4,1,1,0,3462.0,0,0,2,5.0,8,140.0,1.0,-1.0,0.0,0
34.0,1,2,1,0,53.0,1,1,2,5.0,8,346.0,1.0,-1.0,0.0,0
31.0,4,2,2,0,0.0,1,0,2,5.0,8,562.0,1.0,-1.0,0.0,0
51.0,5,1,1,0,2127.0,1,0,2,5.0,8,172.0,1.0,-1.0,0.0,0
33.0,4,1,2,0,377.0,1,0,2,5.0,8,217.0,1.0,-1.0,0.0,0
55.0,4,1,2,0,73.0,1,0,2,5.0,8,142.0,2.0,-1.0,0.0,0
42.0,0,1,1,0,445.0,1,0,2,5.0,8,67.0,1.0,-1.0,0.0,0
34.0,1,1,1,0,243.0,1,0,2,5.0,8,291.0,1.0,-1.0,0.0,0
33.0,1,2,1,0,307.0,1,0,2,5.0,8,309.0,2.0,-1.0,0.0,0
38.0,7,1,1,0,155.0,1,0,2,5.0,8,248.0,1.0,-1.0,0.0,0
50.0,9,0,2,0,173.0,0,1,2,5.0,8,98.0,1.0,-1.0,0.0,0
43.0,4,1,2,0,400.0,1,0,2,5.0,8,256.0,1.0,-1.0,0.0,0
61.0,1,0,0,0,1428.0,1,0,2,5.0,8,82.0,2.0,-1.0,0.0,0
47.0,0,1,1,0,219.0,1,0,2,5.0,8,577.0,1.0,-1.0,0.0,0
48.0,6,1,2,0,7.0,1,0,2,5.0,8,286.0,1.0,-1.0,0.0,0
44.0,1,1,1,0,575.0,1,0,2,5.0,8,477.0,1.0,-1.0,0.0,0
35.0,8,2,1,0,298.0,1,0,2,5.0,8,611.0,2.0,-1.0,0.0,0
35.0,7,1,1,0,0.0,1,0,2,5.0,8,471.0,1.0,-1.0,0.0,0
50.0,7,1,1,0,3462.0,1,0,2,5.0,8,381.0,2.0,-1.0,0.0,0
41.0,4,1,2,0,176.0,1,1,2,5.0,8,42.0,1.0,-1.0,0.0,0
41.0,4,1,2,0,517.0,1,0,2,5.0,8,251.0,1.0,-1.0,0.0,0
39.0,7,2,1,0,257.0,1,0,2,5.0,8,408.0,1.0,-1.0,0.0,0
42.0,5,1,1,0,56.0,1,0,2,5.0,8,215.0,1.0,-1.0,0.0,0
38.0,1,1,1,0,-390.0,1,0,2,5.0,8,287.0,1.0,-1.0,0.0,0
53.0,5,1,1,0,330.0,1,0,2,5.0,8,216.0,2.0,-1.0,0.0,0
59.0,3,0,0,0,195.0,0,0,2,5.0,8,366.0,2.0,-1.0,0.0,0
36.0,7,1,1,0,301.0,1,0,2,5.0,8,210.0,1.0,-1.0,0.0,0
54.0,1,1,0,0,-41.0,1,0,2,5.0,8,288.0,1.0,-1.0,0.0,0
40.0,9,1,2,0,483.0,1,0,2,5.0,8,168.0,1.0,-1.0,0.0,0
47.0,1,1,1,0,28.0,0,0,2,5.0,8,338.0,2.0,-1.0,0.0,0
53.0,10,1,1,0,13.0,0,0,2,5.0,8,410.0,3.0,-1.0,0.0,0
46.0,3,1,0,0,965.0,0,0,2,5.0,8,177.0,1.0,-1.0,0.0,0
39.0,4,1,2,0,378.0,1,1,2,5.0,8,127.0,2.0,-1.0,0.0,0
40.0,10,1,1,0,219.0,1,0,2,5.0,8,357.0,1.0,-1.0,0.0,0
28.0,1,1,0,0,324.0,1,0,2,5.0,8,175.0,1.0,-1.0,0.0,0
35.0,2,0,1,0,-69.0,1,0,2,5.0,8,300.0,1.0,-1.0,0.0,0
55.0,5,1,1,0,0.0,0,1,2,5.0,8,136.0,1.0,-1.0,0.0,0
43.0,9,0,1,0,205.0,1,0,2,5.0,8,643.0,1.0,-1.0,0.0,0
48.0,1,1,0,0,278.0,1,0,2,5.0,8,125.0,2.0,-1.0,0.0,0
58.0,4,1,1,0,1065.0,1,0,2,5.0,8,213.0,3.0,-1.0,0.0,0
33.0,4,2,2,0,34.0,1,0,2,5.0,8,27.0,1.0,-1.0,0.0,0
36.0,1,1,1,0,1033.0,0,0,2,5.0,8,238.0,2.0,-1.0,0.0,0
53.0,7,0,1,0,1467.0,1,0,2,5.0,8,124.0,1.0,-1.0,0.0,0
47.0,1,1,0,0,-12.0,1,0,2,5.0,8,18.0,1.0,-1.0,0.0,0
31.0,7,1,1,0,388.0,1,0,2,5.0,8,643.0,2.0,-1.0,0.0,0
57.0,2,1,1,0,294.0,1,0,2,5.0,8,643.0,2.0,-1.0,0.0,0
53.0,1,1,1,0,1827.0,0,0,2,5.0,8,121.0,1.0,-1.0,0.0,0
55.0,1,1,0,0,627.0,1,0,2,5.0,8,247.0,1.0,-1.0,0.0,0
45.0,1,1,0,0,25.0,1,0,2,5.0,8,40.0,1.0,-1.0,0.0,0
53.0,0,0,1,0,315.0,1,0,2,5.0,8,181.0,2.0,-1.0,0.0,0
37.0,1,1,0,0,0.0,1,0,2,5.0,8,79.0,1.0,-1.0,0.0,0
44.0,0,0,1,0,66.0,1,0,2,5.0,8,206.0,1.0,-1.0,0.0,0
49.0,1,0,0,0,-9.0,1,1,2,5.0,8,389.0,1.0,-1.0,0.0,0
46.0,9,1,1,0,349.0,1,1,2,5.0,8,127.0,1.0,-1.0,0.0,0
43.0,2,1,1,0,100.0,1,0,2,5.0,8,643.0,1.0,-1.0,0.0,0
38.0,0,1,1,0,0.0,0,0,2,5.0,8,151.0,1.0,-1.0,0.0,0
43.0,9,1,1,0,434.0,1,0,2,5.0,8,117.0,1.0,-1.0,0.0,0
49.0,4,1,2,0,3237.0,1,0,2,5.0,8,232.0,3.0,-1.0,0.0,0
42.0,4,1,1,0,275.0,0,0,2,5.0,8,408.0,2.0,-1.0,0.0,0
22.0,1,2,1,0,0.0,1,0,2,5.0,8,179.0,2.0,-1.0,0.0,0
40.0,4,1,2,0,207.0,1,0,2,5.0,8,39.0,1.0,-1.0,0.0,0
39.0,1,1,1,0,483.0,1,0,2,5.0,8,282.0,1.0,-1.0,0.0,0
51.0,7,1,1,0,2248.0,1,0,2,5.0,8,643.0,2.0,-1.0,0.0,0
49.0,0,1,1,0,428.0,1,0,2,5.0,8,50.0,1.0,-1.0,0.0,0
53.0,1,1,1,0,0.0,1,1,2,5.0,8,181.0,1.0,-1.0,0.0,0
34.0,7,2,1,0,0.0,1,0,2,5.0,8,142.0,1.0,-1.0,0.0,0
33.0,9,0,1,0,140.0,1,0,2,5.0,8,227.0,1.0,-1.0,0.0,0
50.0,4,2,2,0,297.0,1,0,2,5.0,8,119.0,1.0,-1.0,0.0,0
39.0,1,1,0,0,279.0,1,0,2,5.0,8,361.0,1.0,-1.0,0.0,0
59.0,2,0,1,0,901.0,1,0,2,5.0,8,73.0,3.0,-1.0,0.0,0
30.0,9,2,1,0,2573.0,1,0,2,5.0,8,67.0,2.0,-1.0,0.0,0
36.0,7,1,1,0,143.0,1,1,2,5.0,8,350.0,1.0,-1.0,0.0,0
40.0,1,1,1,0,475.0,1,0,2,5.0,8,332.0,2.0,-1.0,0.0,0
53.0,1,1,1,0,70.0,1,0,2,5.0,8,611.0,2.0,-1.0,0.0,0
34.0,4,2,2,0,318.0,1,0,2,5.0,8,113.0,2.0,-1.0,0.0,0
37.0,9,1,1,0,275.0,1,0,2,5.0,8,132.0,1.0,-1.0,0.0,0
42.0,4,0,2,0,742.0,1,0,2,5.0,8,58.0,3.0,-1.0,0.0,0
41.0,2,1,0,0,236.0,1,0,2,5.0,8,151.0,1.0,-1.0,0.0,0
30.0,8,2,2,0,25.0,1,0,2,5.0,8,89.0,2.0,-1.0,0.0,0
37.0,4,2,2,0,600.0,1,0,2,5.0,8,152.0,1.0,-1.0,0.0,0
39.0,0,0,1,0,-349.0,1,0,2,5.0,8,611.0,2.0,-1.0,0.0,0
41.0,1,1,0,0,183.0,1,1,2,5.0,8,110.0,2.0,-1.0,0.0,0
40.0,1,1,0,0,0.0,1,0,2,5.0,8,463.0,1.0,-1.0,0.0,0
42.0,4,2,2,0,0.0,1,1,2,5.0,8,562.0,2.0,-1.0,0.0,1
40.0,1,0,0,0,0.0,1,0,2,5.0,8,643.0,1.0,-1.0,0.0,0
57.0,9,1,1,0,1078.0,1,0,2,5.0,8,10.0,4.0,-1.0,0.0,0
56.0,2,0,1,0,155.0,0,0,2,5.0,8,118.0,3.0,-1.0,0.0,0
37.0,0,1,1,0,190.0,1,0,2,5.0,8,92.0,2.0,-1.0,0.0,0
59.0,5,1,1,0,319.0,1,0,2,5.0,8,143.0,3.0,-1.0,0.0,0
39.0,7,0,1,0,-185.0,1,0,2,5.0,8,189.0,3.0,-1.0,0.0,0
49.0,7,1,1,0,47.0,0,0,2,5.0,8,234.0,2.0,-1.0,0.0,0
38.0,7,2,1,0,570.0,1,0,2,5.0,8,75.0,2.0,-1.0,0.0,0
36.0,6,1,2,0,19.0,0,0,2,5.0,8,189.0,2.0,-1.0,0.0,0
50.0,1,1,0,0,61.0,1,0,2,5.0,8,621.0,3.0,-1.0,0.0,0
41.0,0,1,1,0,-62.0,1,1,2,5.0,8,55.0,2.0,-1.0,0.0,0
54.0,9,1,2,0,258.0,0,0,2,5.0,8,310.0,4.0,-1.0,0.0,0
58.0,1,1,0,0,76.0,1,0,2,5.0,8,156.0,2.0,-1.0,0.0,0
30.0,1,2,1,0,0.0,1,0,2,5.0,8,5.0,2.0,-1.0,0.0,0
33.0,0,2,1,0,352.0,1,0,2,5.0,8,225.0,2.0,-1.0,0.0,0
47.0,0,1,1,0,368.0,1,0,2,5.0,8,125.0,2.0,-1.0,0.0,0
50.0,9,2,2,0,339.0,1,0,2,5.0,8,2.0,3.0,-1.0,0.0,0
32.0,1,1,1,0,1331.0,1,0,2,5.0,8,286.0,2.0,-1.0,0.0,0
40.0,6,1,1,0,672.0,1,0,2,5.0,8,164.0,2.0,-1.0,0.0,0
37.0,4,1,2,0,58.0,1,0,2,5.0,8,98.0,2.0,-1.0,0.0,0
54.0,9,2,1,0,447.0,1,0,2,5.0,8,643.0,2.0,-1.0,0.0,0
24.0,8,2,1,0,423.0,1,0,2,5.0,8,226.0,3.0,-1.0,0.0,0
54.0,4,1,2,0,0.0,0,0,2,5.0,8,120.0,2.0,-1.0,0.0,0
